Branch_ID,Branch_Code,Branch_Name,Region,State,City,Address,IFSC_Code,Branch_Type,Manager_ID,Status,Open_Date,Last_Updated_TS
BR1029,1029,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"304 Main Road, Bhubaneswar",CBNK0001029,Digital,EMP33194,Active,2021-08-15,2026-07-10 20:05:26.351750
BR1030,1030,Lucknow Branch,North,Uttar Pradesh,Lucknow,"825 Main Road, Lucknow",CBNK0001030,Regional,EMP22394,Active,2012-01-03,2026-07-10 20:05:26.351763
BR1031,1031,Patna Branch,East,Bihar,Patna,"348 Main Road, Patna",CBNK0001031,Digital,EMP81442,Active,2005-06-28,2026-07-10 20:05:26.351779
BR1032,1032,Bangalore Branch,South,Karnataka,Bangalore,"585 Main Road, Bangalore",CBNK0001032,Corporate,EMP24377,Closed,2013-09-25,2026-07-10 20:05:26.351792
BR1033,1033,Chennai Branch,South,Tamil Nadu,Chennai,"311 Main Road, Chennai",CBNK0001033,Regional,EMP97858,Closed,2009-02-26,2026-07-10 20:05:26.351805
BR1034,1034,Mumbai Branch,West,Maharashtra,Mumbai,"987 Main Road, Mumbai",CBNK0001034,Digital,EMP32449,Active,2006-06-24,2026-07-10 20:05:26.351817
BR1035,1035,Chennai Branch,South,Tamil Nadu,Chennai,"655 Main Road, Chennai",CBNK0001035,Retail,EMP76404,Active,2013-10-27,2026-07-10 20:05:26.351829
BR1036,1036,Chandigarh Branch,North,Chandigarh,Chandigarh,"964 Main Road, Chandigarh",CBNK0001036,Regional,EMP31153,Active,2013-02-01,2026-07-10 20:05:26.351841
BR1037,1037,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"434 Main Road, Bhubaneswar",CBNK0001037,Retail,EMP17511,Active,2012-01-10,2026-07-10 20:05:26.351854
BR1038,1038,Delhi Branch,North,Delhi,Delhi,"712 Main Road, Delhi",CBNK0001038,Regional,EMP51284,Active,2006-07-11,2026-07-10 20:05:26.351867
BR1039,1039,Chennai Branch,South,Tamil Nadu,Chennai,"483 Main Road, Chennai",CBNK0001039,Digital,EMP98594,Active,2016-09-22,2026-07-10 20:05:26.351882
BR1040,1040,Pune Branch,West,Maharashtra,Pune,"308 Main Road, Pune",CBNK0001040,Regional,EMP17553,Active,2005-05-23,2026-07-10 20:05:26.351896
BR1041,1041,Pune Branch,West,Maharashtra,Pune,"754 Main Road, Pune",CBNK0001041,Retail,EMP48920,Active,2015-10-01,2026-07-10 20:05:26.351916
BR1042,1042,Mumbai Branch,West,Maharashtra,Mumbai,"584 Main Road, Mumbai",CBNK0001042,Retail,EMP24758,Active,2008-02-02,2026-07-10 20:05:26.351930
BR1043,1043,Chennai Branch,South,Tamil Nadu,Chennai,"372 Main Road, Chennai",CBNK0001043,Regional,EMP13774,Active,2009-06-14,2026-07-10 20:05:26.351942
BR1044,1044,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"255 Main Road, Bhubaneswar",CBNK0001044,Digital,EMP96847,Active,2009-03-18,2026-07-10 20:05:26.351957
BR1045,1045,Lucknow Branch,North,Uttar Pradesh,Lucknow,"744 Main Road, Lucknow",CBNK0001045,Digital,EMP43419,Active,2012-01-01,2026-07-10 20:05:26.351971
BR1046,1046,Ahmedabad Branch,West,Gujarat,Ahmedabad,"500 Main Road, Ahmedabad",CBNK0001046,Digital,EMP44578,Active,2009-11-19,2026-07-10 20:05:26.351983
BR1047,1047,Delhi Branch,North,Delhi,Delhi,"576 Main Road, Delhi",CBNK0001047,Retail,EMP95224,Closed,2013-06-21,2026-07-10 20:05:26.351996
BR1048,1048,Mumbai Branch,West,Maharashtra,Mumbai,"683 Main Road, Mumbai",CBNK0001048,Retail,EMP92294,Active,2020-01-08,2026-07-10 20:05:26.353079
BR1049,1049,Chennai Branch,South,Tamil Nadu,Chennai,"937 Main Road, Chennai",CBNK0001049,Digital,EMP57176,Active,2022-05-11,2026-07-10 20:05:26.353095
BR1050,1050,Bangalore Branch,South,Karnataka,Bangalore,"377 Main Road, Bangalore",CBNK0001050,Digital,EMP93494,Active,2022-08-26,2026-07-10 20:05:26.353109
BR1051,1051,Mumbai Branch,West,Maharashtra,Mumbai,"172 Main Road, Mumbai",CBNK0001051,Digital,EMP30156,Active,2005-06-27,2026-07-10 20:05:26.353122
BR1052,1052,Kolkata Branch,East,West Bengal,Kolkata,"664 Main Road, Kolkata",CBNK0001052,Corporate,EMP21037,Active,2016-09-24,2026-07-10 20:05:26.353135
BR1053,1053,Mumbai Branch,West,Maharashtra,Mumbai,"741 Main Road, Mumbai",CBNK0001053,Retail,EMP12405,Closed,2011-12-19,2026-07-10 20:05:26.353162
BR1054,1054,Ahmedabad Branch,West,Gujarat,Ahmedabad,"55 Main Road, Ahmedabad",CBNK0001054,Digital,EMP59883,Closed,2021-11-22,2026-07-10 20:05:26.353174
BR1055,1055,Chennai Branch,South,Tamil Nadu,Chennai,"117 Main Road, Chennai",CBNK0001055,Retail,EMP28598,Active,2015-09-09,2026-07-10 20:05:26.354238
BR1056,1056,Mumbai Branch,West,Maharashtra,Mumbai,"765 Main Road, Mumbai",CBNK0001056,Corporate,EMP31261,Active,2014-09-10,2026-07-10 20:05:26.354259
BR1057,1057,Mumbai Branch,West,Maharashtra,Mumbai,"407 Main Road, Mumbai",CBNK0001057,Corporate,EMP92551,Active,2020-07-12,2026-07-10 20:05:26.354273
BR1058,1058,Chennai Branch,South,Tamil Nadu,Chennai,"538 Main Road, Chennai",CBNK0001058,Retail,EMP33543,Active,2022-03-06,2026-07-10 20:05:26.354287
BR1059,1059,Delhi Branch,North,Delhi,Delhi,"537 Main Road, Delhi",CBNK0001059,Retail,EMP59093,Active,2016-05-07,2026-07-10 20:05:26.354300
BR1060,1060,Chennai Branch,South,Tamil Nadu,Chennai,"634 Main Road, Chennai",CBNK0001060,Corporate,EMP26583,Active,2015-08-04,2026-07-10 20:05:26.354326
BR1061,1061,Chandigarh Branch,North,Chandigarh,Chandigarh,"278 Main Road, Chandigarh",CBNK0001061,Regional,EMP94875,Active,2016-08-16,2026-07-10 20:05:26.354338
BR1062,1062,Lucknow Branch,North,Uttar Pradesh,Lucknow,"541 Main Road, Lucknow",CBNK0001062,Corporate,EMP57012,Active,2016-02-03,2026-07-10 20:05:26.354351
BR1063,1063,Chandigarh Branch,North,Chandigarh,Chandigarh,"806 Main Road, Chandigarh",CBNK0001063,Regional,EMP44773,Active,2010-06-14,2026-07-10 20:05:26.355801
BR1064,1064,Pune Branch,West,Maharashtra,Pune,"938 Main Road, Pune",CBNK0001064,Digital,EMP62831,Active,2010-04-26,2026-07-10 20:05:26.355818
BR1065,1065,Kolkata Branch,East,West Bengal,Kolkata,"896 Main Road, Kolkata",CBNK0001065,Regional,EMP55888,Active,2017-04-05,2026-07-10 20:05:26.355832
BR1066,1066,Patna Branch,East,Bihar,Patna,"590 Main Road, Patna",CBNK0001066,Corporate,EMP66530,Active,2015-02-11,2026-07-10 20:05:26.355853
BR1067,1067,Pune Branch,West,Maharashtra,Pune,"279 Main Road, Pune",CBNK0001067,Corporate,EMP81449,Active,2012-06-05,2026-07-10 20:05:26.355867
BR1068,1068,Chandigarh Branch,North,Chandigarh,Chandigarh,"310 Main Road, Chandigarh",CBNK0001068,Digital,EMP92993,Active,2017-01-18,2026-07-10 20:05:26.355880
BR1069,1069,Ahmedabad Branch,West,Gujarat,Ahmedabad,"429 Main Road, Ahmedabad",CBNK0001069,Regional,EMP22452,Active,2022-09-07,2026-07-10 20:05:26.355908
BR1070,1070,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"673 Main Road, Bhubaneswar",CBNK0001070,Regional,EMP17868,Active,2010-01-09,2026-07-10 20:05:26.355919
BR1071,1071,Mumbai Branch,West,Maharashtra,Mumbai,"352 Main Road, Mumbai",CBNK0001071,Digital,EMP72382,Active,2015-01-02,2026-07-10 20:05:26.356981
BR1072,1072,Chennai Branch,South,Tamil Nadu,Chennai,"133 Main Road, Chennai",CBNK0001072,Regional,EMP52809,Active,2011-08-17,2026-07-10 20:05:26.356997
BR1073,1073,Ahmedabad Branch,West,Gujarat,Ahmedabad,"655 Main Road, Ahmedabad",CBNK0001073,Regional,EMP20353,Closed,2011-09-25,2026-07-10 20:05:26.357010
BR1074,1074,Delhi Branch,North,Delhi,Delhi,"169 Main Road, Delhi",CBNK0001074,Regional,EMP38757,Active,2011-10-22,2026-07-10 20:05:26.357022
BR1075,1075,Chennai Branch,South,Tamil Nadu,Chennai,"326 Main Road, Chennai",CBNK0001075,Retail,EMP84399,Active,2021-11-19,2026-07-10 20:05:26.357035
BR1076,1076,Hyderabad Branch,South,Telangana,Hyderabad,"38 Main Road, Hyderabad",CBNK0001076,Regional,EMP64989,Active,2010-09-24,2026-07-10 20:05:26.357047
BR1077,1077,Bangalore Branch,South,Karnataka,Bangalore,"683 Main Road, Bangalore",CBNK0001077,Regional,EMP55030,Active,2015-10-16,2026-07-10 20:05:26.357060
BR1078,1078,Pune Branch,West,Maharashtra,Pune,"914 Main Road, Pune",CBNK0001078,Regional,EMP42781,Active,2020-03-01,2026-07-10 20:05:26.357088
BR1079,1079,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"269 Main Road, Bhubaneswar",CBNK0001079,Digital,EMP36048,Active,2013-09-27,2026-07-10 20:05:26.358146
BR1080,1080,Bhubaneswar Branch,East,Odisha,Bhubaneswar,"233 Main Road, Bhubaneswar",CBNK0001080,Retail,EMP63852,Active,2021-11-18,2026-07-10 20:05:26.358161
BR1081,1081,Pune Branch,West,Maharashtra,Pune,"641 Main Road, Pune",CBNK0001081,Retail,EMP76798,Closed,2015-08-11,2026-07-10 20:05:26.358182
BR1082,1082,Pune Branch,West,Maharashtra,Pune,"195 Main Road, Pune",CBNK0001082,Retail,EMP83668,Active,2013-09-17,2026-07-10 20:05:26.358196
BR1083,1083,Patna Branch,East,Bihar,Patna,"118 Main Road, Patna",CBNK0001083,Corporate,EMP13784,Active,2012-04-14,2026-07-10 20:05:26.358209
BR1084,1084,Chennai Branch,South,Tamil Nadu,Chennai,"226 Main Road, Chennai",CBNK0001084,Regional,EMP74039,Active,2022-11-27,2026-07-10 20:05:26.358223
BR1085,1085,Pune Branch,West,Maharashtra,Pune,"676 Main Road, Pune",CBNK0001085,Digital,EMP79822,Closed,2022-04-05,2026-07-10 20:05:26.358249
BR1086,1086,Chennai Branch,South,Tamil Nadu,Chennai,"157 Main Road, Chennai",CBNK0001086,Corporate,EMP96111,Closed,2006-11-28,2026-07-10 20:05:26.358261
BR1087,1087,Chandigarh Branch,North,Chandigarh,Chandigarh,"818 Main Road, Chandigarh",CBNK0001087,Regional,EMP33460,Active,2013-09-23,2026-07-10 20:05:26.358273
BR1088,1088,Mumbai Branch,West,Maharashtra,Mumbai,"478 Main Road, Mumbai",CBNK0001088,Corporate,EMP34454,Active,2010-11-05,2026-07-10 20:05:26.358285
BR1089,1089,Patna Branch,East,Bihar,Patna,"647 Main Road, Patna",CBNK0001089,Digital,EMP81574,Active,2014-04-17,2026-07-10 20:05:26.358297
BR1090,1090,Ahmedabad Branch,West,Gujarat,Ahmedabad,"104 Main Road, Ahmedabad",CBNK0001090,Digital,EMP99180,Active,2009-06-05,2026-07-10 20:05:26.358309
BR1091,1091,Chandigarh Branch,North,Chandigarh,Chandigarh,"17 Main Road, Chandigarh",CBNK0001091,Retail,EMP22406,Active,2013-06-25,2026-07-10 20:05:26.358325
BR1092,1092,Delhi Branch,North,Delhi,Delhi,"525 Main Road, Delhi",CBNK0001092,Corporate,EMP21803,Active,2018-04-27,2026-07-10 20:05:26.358337
BR1093,1093,Hyderabad Branch,South,Telangana,Hyderabad,"240 Main Road, Hyderabad",CBNK0001093,Digital,EMP37880,Active,2010-09-28,2026-07-10 20:05:26.358349
BR1094,1094,Patna Branch,East,Bihar,Patna,"443 Main Road, Patna",CBNK0001094,Digital,EMP57604,Active,2014-11-24,2026-07-10 20:05:26.358363
BR1095,1095,Patna Branch,East,Bihar,Patna,"631 Main Road, Patna",CBNK0001095,Digital,EMP22027,Active,2011-02-25,2026-07-10 20:05:26.358375
BR1096,1096,Chandigarh Branch,North,Chandigarh,Chandigarh,"741 Main Road, Chandigarh",CBNK0001096,Corporate,EMP25092,Active,2011-11-14,2026-07-10 20:05:26.358387
BR1097,1097,Bangalore Branch,South,Karnataka,Bangalore,"41 Main Road, Bangalore",CBNK0001097,Corporate,EMP94959,Active,2014-12-12,2026-07-10 20:05:26.358400
BR1098,1098,Kolkata Branch,East,West Bengal,Kolkata,"498 Main Road, Kolkata",CBNK0001098,Digital,EMP45793,Active,2020-03-04,2026-07-10 20:05:26.358414
BR1099,1099,Chennai Branch,South,Tamil Nadu,Chennai,"237 Main Road, Chennai",CBNK0001099,Regional,EMP69771,Active,2006-12-22,2026-07-10 20:05:26.358427
BR1100,1100,Pune Branch,West,Maharashtra,Pune,"708 Main Road, Pune",CBNK0001100,Retail,EMP70422,Active,2016-09-27,2026-07-10 20:05:26.358439
